Name,Current,Next
JavaScript,0.6663,0.5033
HTML/CSS,0.624,0.4123
SQL,0.5349,0.3776
Python,0.41,0.4501
Java,0.4041,0.2645
Bash/Shell/PowerShell,0.3599,0.2397
C#,0.3049,0.2526
PHP,0.2591,0.1444
C++,0.2309,0.1896
TypeScript,0.2084,0.2669
C,0.2027,0.1254
Others:,0.0891,0.089
Ruby,0.0825,0.0816
Go,0.081,0.1919
Assembly,0.0656,0.0524
Swift,0.0646,0.099
Kotlin,0.0632,0.1492
R,0.0568,0.0758
VBA,0.0538,0.0185
Objective-C,0.0472,0.0321
Scala,0.0372,0.0626
Rust,0.0314,0.1181
Dart,0.0189,0.0498
nan,0.0148,0.0539
Elixir,0.0142,0.0426
Clojure,0.0141,0.031
WebAssembly,0.0114,0.095
F#,0.0109,0.0396
Erlang,0.0087,0.0239
